 500 0.000597 0.000013
 1000 0.001181 0.000041
 1500 0.001936 0.000045
 2000 0.002931 0.000066
 2500 0.003065 0.000055
 3000 0.003427 0.000067
 3500 0.002239 0.000043
 4000 0.002579 0.000034
 4500 0.002288 0.000052
 5000 0.002296 0.000033
 5500 0.001960 0.000036
 6000 0.002153 0.000039
 6500 0.002066 0.000036
 7000 0.002162 0.000039
 7500 0.002345 0.000042
 8000 0.002543 0.000044
 8500 0.002685 0.000048
 9000 0.002863 0.000050
 9500 0.003037 0.000052
 10000 0.003221 0.000056
